,시도명,시군구명,위도,경도,보행자신호등유무,보도턱낮춤여부,점자블록유무,보조시설유무
206,강원도,동해시,37.554981,129.103603,N,Y,Y,BC
207,강원도,동해시,37.554201,129.104858,N,Y,Y,BC
208,강원도,동해시,37.551521,129.104894,N,Y,Y,BC
209,강원도,동해시,37.550737,129.103141,N,Y,Y,BC
210,강원도,동해시,37.552989,129.105384,N,Y,Y,BC
211,강원도,동해시,37.552165,129.105741,N,Y,Y,BC
212,강원도,동해시,37.551881,129.105311,Y,Y,Y,ABC
213,강원도,동해시,37.551851,129.105463,Y,Y,Y,ABC
214,강원도,동해시,37.551697,129.105278,Y,Y,Y,ABC
215,강원도,동해시,37.551597,129.105348,N,Y,Y,BC
216,강원도,동해시,37.551692,129.105451,Y,Y,Y,ABC
217,강원도,동해시,37.550986,129.105974,N,Y,N,B
218,강원도,동해시,37.551951,129.105711,N,Y,N,B
219,강원도,동해시,37.551235,129.106568,N,Y,Y,BC
220,강원도,동해시,37.550296,129.109692,N,Y,N,B
221,강원도,동해시,37.477062,129.127381,N,Y,N,B
222,강원도,동해시,37.476733,129.131896,Y,Y,Y,ABC
223,강원도,동해시,37.479768,129.127337,N,N,N,N
224,강원도,동해시,37.489396,129.121866,N,Y,Y,BC
225,강원도,동해시,37.487721,129.123251,Y,Y,Y,ABC
226,강원도,동해시,37.487878,129.122954,Y,Y,N,AB
227,강원도,동해시,37.489512,129.121986,Y,N,N,A
228,강원도,동해시,37.489556,129.121776,N,Y,Y,BC
229,경기도,여주시,37.28430117,127.6969706,N,N,N,N
230,경기도,여주시,37.28295098,127.7006088,N,N,N,N
231,경기도,여주시,37.28315521,127.7003603,N,N,N,N
232,경기도,여주시,37.27449111,127.7105332,N,Y,N,B
233,경기도,여주시,37.27397799,127.7119056,N,N,N,N
234,경기도,여주시,37.27370139,127.711678,N,Y,N,B
235,경기도,여주시,37.27397799,127.7119056,N,Y,N,B
236,경기도,여주시,37.27327906,127.7114655,N,Y,N,B
237,경기도,여주시,37.27379006,127.7114304,N,Y,N,B
238,경기도,여주시,37.2716536,127.7138504,N,Y,N,B
239,경기도,여주시,37.26926067,127.7153562,N,Y,Y,BC
240,경기도,여주시,37.26926067,127.7153562,N,Y,N,B
241,경기도,여주시,37.19383449,127.6937498,N,Y,N,B
242,경기도,여주시,37.19221801,127.6921322,N,Y,N,B
243,경기도,여주시,37.190324,127.6911354,N,Y,N,B
244,경기도,여주시,37.24466527,127.6776283,N,N,N,N
245,경기도,여주시,37.24171591,127.6789692,N,Y,Y,BC
246,경기도,여주시,37.24171591,127.6789692,N,Y,Y,BC
247,경기도,여주시,37.1798712,127.6888069,N,Y,N,B
248,경기도,여주시,37.14646014,127.6646699,N,Y,N,B
249,경기도,여주시,37.14619528,127.6681813,N,Y,N,B
250,경기도,여주시,37.20355405,127.6946564,N,Y,N,B
251,경기도,여주시,37.21174063,127.7054457,N,Y,N,B
252,경기도,여주시,37.20411292,127.7125009,N,Y,N,B
253,경기도,여주시,37.200452,127.622533,N,Y,N,B
254,경기도,여주시,37.19942088,127.6231969,N,Y,N,B
255,경기도,여주시,37.18744401,127.6356322,N,Y,N,B
256,경기도,여주시,37.18409755,127.6358906,N,Y,N,B
257,경기도,여주시,37.17721918,127.6344651,N,Y,N,B
258,경기도,여주시,37.33080424,127.6218327,N,Y,N,B
259,경기도,여주시,37.33015134,127.622144,N,Y,N,B
260,경기도,여주시,37.33015134,127.622144,N,Y,N,B
261,경기도,여주시,37.33015134,127.622144,N,Y,N,B
262,경기도,여주시,37.33032609,127.621961,N,Y,N,B
263,경기도,여주시,37.32100619,127.6233636,N,N,N,N
264,경기도,여주시,37.32001883,127.6241555,N,Y,N,B
265,경기도,여주시,37.31912887,127.6256248,N,N,N,N
266,경기도,여주시,37.31953543,127.6280281,Y,N,N,A
267,경기도,여주시,37.31931521,127.629167,Y,Y,N,AB
268,경기도,여주시,37.31931521,127.629167,N,Y,N,B
269,경기도,여주시,37.31380445,127.6580004,N,Y,N,B
270,경기도,여주시,37.31380445,127.6580004,N,Y,Y,BC
271,경기도,여주시,37.31380445,127.6580004,N,Y,Y,BC
272,경기도,여주시,37.30418534,127.6728849,Y,Y,Y,ABC
273,경기도,여주시,37.30418477,127.6723303,N,Y,Y,BC
274,경기도,여주시,37.30150438,127.6815508,Y,N,N,A
275,경기도,여주시,37.29380048,127.6818539,N,N,N,N
276,경기도,여주시,37.28730011,127.6834709,N,N,N,N
277,경기도,여주시,37.28692268,127.6832682,Y,N,N,A
278,경기도,여주시,37.28675618,127.6863061,Y,Y,Y,ABC
279,경기도,여주시,37.28449009,127.6907932,N,Y,N,B
280,경기도,여주시,37.28438406,127.6916091,N,Y,N,B
281,경기도,여주시,37.28459504,127.6914381,N,Y,N,B
282,경기도,여주시,37.28404007,127.6912172,N,Y,Y,BC
283,경기도,여주시,37.28468771,127.696729,N,N,N,N
284,경기도,여주시,37.28454333,127.6947059,N,N,N,N
285,경기도,여주시,37.28454333,127.6947059,N,N,N,N
286,경기도,여주시,37.28381341,127.6946806,N,N,N,N
287,경기도,여주시,37.3032359,127.6416223,Y,Y,Y,ABC
288,경기도,여주시,37.30486702,127.637592,Y,Y,Y,ABC
289,경기도,여주시,37.31087242,127.6311036,Y,Y,Y,ABC
290,경기도,여주시,37.31721604,127.6305023,Y,Y,Y,ABC
291,경기도,여주시,37.33543378,127.6460227,N,N,N,N
292,경기도,여주시,37.3451091,127.673639,N,N,N,N
293,경기도,여주시,37.34800481,127.6760025,N,N,N,N
294,경기도,여주시,37.34944811,127.6791072,N,N,N,N
295,경기도,여주시,37.35069017,127.6803061,N,N,N,N
296,경기도,여주시,37.34980901,127.6845246,N,N,N,N
297,경기도,여주시,37.34932536,127.6850378,N,N,N,N
298,경기도,여주시,37.28430625,127.7403345,N,N,N,N
299,경기도,여주시,37.26822497,127.7471882,N,N,N,N
300,경기도,여주시,37.26393589,127.7499211,N,N,N,N
301,경기도,여주시,37.26040036,127.7535955,N,N,N,N
302,경기도,여주시,37.34036262,127.6205523,N,N,N,N
303,경기도,여주시,37.33869534,127.6209283,N,N,N,N
304,경기도,여주시,37.33468499,127.6209632,N,N,N,N
305,경기도,남양주시,37.607711,127.171202,Y,Y,Y,ABC
306,경기도,남양주시,37.608085,127.172761,Y,Y,Y,ABC
307,경기도,남양주시,37.608085,127.172761,Y,Y,Y,ABC
308,경기도,남양주시,37.608085,127.172761,Y,Y,Y,ABC
309,경기도,남양주시,37.608085,127.172761,Y,Y,Y,ABC
310,경기도,남양주시,37.608085,127.172761,Y,Y,Y,ABC
311,경기도,남양주시,37.608085,127.172761,Y,Y,Y,ABC
312,경기도,남양주시,37.607285,127.168943,Y,Y,Y,ABC
313,경기도,남양주시,37.607285,127.168943,Y,Y,Y,ABC
314,경기도,남양주시,37.607285,127.168943,Y,Y,Y,ABC
315,경기도,남양주시,37.607285,127.168943,Y,Y,Y,ABC
316,경기도,여주시,37.40778837,127.5936387,N,N,N,N
317,경기도,여주시,37.41187802,127.5912572,N,N,N,N
318,경기도,여주시,37.31092971,127.6450511,Y,Y,Y,ABC
319,경기도,여주시,37.31128636,127.6447756,Y,Y,Y,ABC
320,경기도,여주시,37.31092503,127.6449251,N,Y,Y,BC
321,경기도,여주시,37.30908227,127.6447716,N,Y,Y,BC
322,경기도,여주시,37.30778639,127.6449684,N,N,Y,C
323,경기도,여주시,37.30231884,127.6493119,N,N,N,N
324,경기도,여주시,37.301112,127.649751,N,Y,Y,BC
325,경기도,여주시,37.30119495,127.6500498,Y,Y,Y,ABC
326,경기도,여주시,37.30069927,127.649715,Y,Y,Y,ABC
327,경기도,여주시,37.30213908,127.6488723,Y,Y,Y,ABC
328,경기도,여주시,37.30089831,127.6479473,Y,Y,N,AB
329,경기도,여주시,37.3021144,127.6442913,Y,Y,Y,ABC
330,경기도,여주시,37.30242992,127.6435366,Y,Y,Y,ABC
331,경기도,남양주시,37.608751,127.169763,Y,Y,Y,ABC
332,경기도,남양주시,37.608751,127.169763,Y,Y,Y,ABC
333,경기도,남양주시,37.608751,127.169763,Y,Y,Y,ABC
334,경기도,남양주시,37.608751,127.169763,Y,Y,Y,ABC
335,경기도,남양주시,37.608751,127.169763,Y,Y,Y,ABC
336,경기도,남양주시,37.608751,127.169763,Y,Y,Y,ABC
337,경기도,남양주시,37.608751,127.169763,Y,Y,Y,ABC
338,경기도,남양주시,37.608751,127.169763,Y,Y,Y,ABC
339,경기도,남양주시,37.608751,127.169763,Y,Y,Y,ABC
340,경기도,남양주시,37.610014,127.169145,Y,Y,Y,ABC
341,경기도,남양주시,37.607612,127.170468,Y,Y,Y,ABC
342,경기도,남양주시,37.608085,127.172761,Y,Y,Y,ABC
343,경기도,남양주시,37.607711,127.171202,Y,Y,Y,ABC
344,충청남도,천안시,36.83948506,127.1259641,N,Y,Y,BC
345,충청남도,천안시,36.84173512,127.1284096,Y,Y,Y,ABC
346,충청남도,천안시,36.84214663,127.1285164,N,Y,Y,BC
347,충청남도,천안시,36.8415521,127.1281912,Y,Y,Y,ABC
348,충청남도,천안시,36.83971346,127.1249098,N,Y,Y,BC
349,충청남도,천안시,36.83964721,127.1247726,N,Y,Y,BC
350,충청남도,천안시,36.83966479,127.1237621,N,Y,Y,BC
351,충청남도,천안시,36.84385488,127.1261029,Y,Y,Y,ABC
352,충청남도,천안시,36.84396094,127.1263125,N,N,N,N
353,충청남도,천안시,36.84371136,127.125907,Y,Y,Y,ABC
354,충청남도,천안시,36.84284334,127.125912,N,Y,Y,BC
355,충청남도,천안시,36.84257641,127.1259111,N,Y,Y,BC
356,충청남도,천안시,36.84270281,127.1260178,N,Y,Y,BC
357,충청남도,천안시,36.84335514,127.1249787,N,Y,Y,BC
358,충청남도,천안시,36.84242845,127.1249781,N,Y,Y,BC
359,충청남도,천안시,36.84212648,127.1249608,N,Y,Y,BC
360,충청남도,천안시,36.84167739,127.1249312,N,Y,Y,BC
361,경기도,여주시,37.37614966,127.5919247,N,Y,N,B
362,경기도,여주시,37.37614966,127.5919247,N,Y,N,B
363,경기도,여주시,37.37614966,127.5919247,N,Y,N,B
364,경기도,여주시,37.37620076,127.5916963,N,Y,N,B
365,경기도,여주시,37.37616014,127.5914593,N,Y,N,B
366,경기도,여주시,37.37702806,127.5916241,N,Y,N,B
367,경기도,여주시,37.37826024,127.5903733,N,N,N,N
368,경기도,여주시,37.379465,127.5904806,N,Y,Y,BC
369,경기도,여주시,37.38984574,127.5913671,N,N,N,N
370,경기도,여주시,37.3979459,127.5929465,N,N,N,N
371,경기도,여주시,37.40778837,127.5936387,N,N,N,N
372,경기도,남양주시,37.613412,127.173154,Y,Y,Y,ABC
373,경기도,남양주시,37.612602,127.171889,Y,Y,Y,ABC
374,경기도,남양주시,37.612721,127.171911,Y,Y,Y,ABC
375,경기도,남양주시,37.610036,127.165764,Y,Y,Y,ABC
376,경기도,남양주시,37.610739,127.167335,Y,Y,Y,ABC
377,경기도,남양주시,37.612608,127.171738,Y,Y,Y,ABC
378,경기도,남양주시,37.611885,127.170203,Y,Y,Y,ABC
379,경기도,남양주시,37.611462,127.169017,Y,Y,Y,ABC
380,경기도,남양주시,37.611396,127.168872,Y,Y,Y,ABC
381,경기도,남양주시,37.610452,127.166349,Y,Y,Y,ABC
382,경기도,남양주시,37.612627,127.171726,Y,Y,Y,ABC
383,경기도,남양주시,37.611986,127.170093,Y,Y,Y,ABC
384,경기도,남양주시,37.611469,127.169014,Y,Y,Y,ABC
385,경기도,남양주시,37.611435,127.169847,Y,Y,Y,ABC
386,경기도,남양주시,37.611735,127.169351,Y,Y,Y,ABC
387,경기도,남양주시,37.609983,127.164927,Y,Y,Y,ABC
388,경기도,남양주시,37.609801,127.163886,Y,Y,Y,ABC
389,경기도,남양주시,37.611831,127.170205,Y,Y,Y,ABC
390,경기도,남양주시,37.611469,127.170406,N,Y,N,B
391,경기도,남양주시,37.611522,127.170304,N,Y,N,B
392,경기도,남양주시,37.611522,127.170304,N,Y,N,B
393,경기도,남양주시,37.611522,127.170304,N,Y,N,B
394,경기도,남양주시,37.613646,127.173138,Y,Y,Y,ABC
395,경기도,남양주시,37.611339,127.168999,Y,Y,Y,ABC
396,경기도,남양주시,37.607285,127.168943,Y,Y,Y,ABC
397,경기도,남양주시,37.607285,127.168943,Y,Y,Y,ABC
398,경기도,남양주시,37.607285,127.168943,Y,Y,Y,ABC
399,경기도,남양주시,37.613874,127.156371,Y,Y,Y,ABC
400,경기도,남양주시,37.615221,127.155384,Y,Y,Y,ABC
401,경기도,남양주시,37.615304,127.155218,Y,Y,Y,ABC
402,경기도,남양주시,37.615217,127.155289,Y,Y,Y,ABC
403,경기도,남양주시,37.613864,127.156366,Y,Y,Y,ABC
404,경기도,남양주시,37.615716,127.156205,Y,Y,Y,ABC
405,경기도,남양주시,37.616181,127.158095,Y,Y,Y,ABC
406,경기도,남양주시,37.615647,127.156187,Y,Y,Y,ABC
407,경기도,남양주시,37.613847,127.156449,Y,Y,Y,ABC
408,경기도,남양주시,37.614253,127.157236,Y,Y,Y,ABC
409,경기도,남양주시,37.614912,127.157971,Y,Y,Y,ABC
410,경기도,남양주시,37.613852,127.156457,Y,Y,Y,ABC
411,경기도,남양주시,37.614218,127.157253,Y,Y,Y,ABC
412,경기도,남양주시,37.614903,127.157955,Y,Y,Y,ABC
413,경기도,남양주시,37.614233,127.166569,Y,Y,Y,ABC
414,경기도,남양주시,37.614261,127.166588,Y,Y,Y,ABC
415,경기도,남양주시,37.614273,127.166564,N,Y,Y,BC
416,경기도,남양주시,37.614209,127.166612,N,Y,Y,BC
417,경기도,남양주시,37.613031,127.168102,Y,Y,Y,ABC
418,경기도,남양주시,37.612942,127.169181,N,N,Y,C
419,경기도,남양주시,37.611975,127.166424,N,Y,Y,BC
420,경기도,남양주시,37.612345,127.166185,N,Y,Y,BC
421,경기도,남양주시,37.611888,127.165086,N,N,N,N
422,경기도,남양주시,37.611623,127.165228,N,N,N,N
423,경기도,남양주시,37.611524,127.165293,N,Y,N,B
424,경기도,남양주시,37.611994,127.166385,N,Y,N,B
425,경기도,남양주시,37.611572,127.165309,N,Y,N,B
426,경기도,남양주시,37.613452,127.173126,Y,Y,Y,ABC
427,경기도,남양주시,37.614611,127.154093,Y,Y,Y,ABC
428,경기도,남양주시,37.614024,127.154518,N,Y,Y,BC
429,경기도,남양주시,37.613943,127.154592,N,Y,Y,BC
430,경기도,남양주시,37.613596,127.154856,Y,Y,Y,ABC
431,경기도,남양주시,37.611501,127.152741,Y,Y,Y,ABC
432,경기도,남양주시,37.611501,127.152741,Y,Y,Y,ABC
433,경기도,남양주시,37.611501,127.152741,Y,Y,Y,ABC
