시도명,시군구명,위도,경도,보행자신호등유무,보도턱낮춤여부,점자블록유무
경기도,남양주시,37.613452,127.173126,Y,Y,Y
경기도,남양주시,37.614611,127.154093,Y,Y,Y
경기도,남양주시,37.613596,127.154856,Y,Y,Y
경기도,남양주시,37.611501,127.152741,Y,Y,Y
경기도,남양주시,37.611501,127.152741,Y,Y,Y
경기도,남양주시,37.611501,127.152741,Y,Y,Y
경기도,남양주시,37.611501,127.152741,Y,Y,Y
경기도,남양주시,37.611501,127.152741,Y,Y,Y
경기도,남양주시,37.611501,127.152741,Y,Y,Y
경기도,남양주시,37.611552,127.152817,Y,Y,Y
경기도,남양주시,37.611552,127.152817,Y,Y,Y
경기도,남양주시,37.611552,127.152817,Y,Y,Y
경기도,남양주시,37.611552,127.152817,Y,Y,Y
경기도,남양주시,37.611552,127.152817,Y,Y,Y
경기도,남양주시,37.612214,127.153689,Y,Y,Y
경기도,남양주시,37.610954,127.151977,Y,Y,Y
경기도,남양주시,37.611526,127.152769,Y,N,Y
경기도,남양주시,37.612275,127.153712,Y,Y,Y
경기도,남양주시,37.612392,127.153844,Y,Y,Y
경기도,남양주시,37.613125,127.155181,Y,Y,Y
경기도,남양주시,37.613177,127.155255,Y,N,Y
경기도,남양주시,37.613799,127.156349,Y,N,Y
경기도,남양주시,37.613861,127.156371,Y,Y,Y
경기도,남양주시,37.615223,127.155282,Y,Y,Y
경기도,남양주시,37.615292,127.155223,Y,Y,Y
경기도,남양주시,37.614704,127.153998,Y,Y,Y
경기도,남양주시,37.619978,127.164355,Y,Y,Y
경기도,남양주시,37.620592,127.164484,Y,Y,Y
경기도,남양주시,37.620634,127.164491,Y,Y,Y
경기도,남양주시,37.621547,127.164636,Y,Y,Y
경기도,남양주시,37.621599,127.164646,Y,Y,Y
경기도,남양주시,37.617226,127.163351,Y,Y,Y
경기도,남양주시,37.610739,127.167335,Y,Y,Y
경기도,남양주시,37.618125,127.163567,Y,Y,Y
경기도,남양주시,37.618125,127.163567,Y,Y,Y
경기도,남양주시,37.618125,127.163567,Y,Y,Y
경기도,남양주시,37.618125,127.163567,Y,Y,Y
경기도,남양주시,37.618125,127.163567,Y,Y,Y
경기도,남양주시,37.618125,127.163567,Y,Y,Y
경기도,남양주시,37.618125,127.163567,Y,Y,Y
경기도,남양주시,37.618125,127.163567,Y,Y,Y
경기도,남양주시,37.620049,127.162689,Y,Y,Y
경기도,남양주시,37.614985,127.151128,Y,Y,Y
