,시도명,보조시설유무
492,대전광역시,Z
493,대전광역시,Z
494,대전광역시,Z
495,대전광역시,Z
496,대전광역시,Z
497,대전광역시,Z
498,대전광역시,Z
499,대전광역시,Z
500,대전광역시,Z
501,대전광역시,Z
502,대전광역시,Z
503,대전광역시,Z
504,대전광역시,Z
505,대전광역시,Z
506,대전광역시,Z
507,대전광역시,Z
508,대전광역시,Z
509,대전광역시,Z
510,대전광역시,Z
511,대전광역시,Z
512,대전광역시,Z
513,대전광역시,Z
514,대전광역시,Z
515,대전광역시,Z
516,대전광역시,Z
517,대전광역시,Z
518,대전광역시,Z
519,대전광역시,Z
520,대전광역시,Z
521,대전광역시,Z
522,대전광역시,Z
523,대전광역시,Z
524,대전광역시,Z
525,대전광역시,Z
526,대전광역시,Z
527,대전광역시,Z
528,대전광역시,Z
529,대전광역시,Z
530,대전광역시,Z
531,대전광역시,Z
532,대전광역시,Z
533,대전광역시,Z
534,대전광역시,Z
535,대전광역시,Z
536,대전광역시,Z
537,대전광역시,Z
538,대전광역시,Z
539,대전광역시,Z
540,대전광역시,Z
541,대전광역시,Z
542,대전광역시,Z
543,대전광역시,Z
544,대전광역시,Z
545,대전광역시,Z
546,대전광역시,Z
547,대전광역시,Z
548,대전광역시,Z
549,대전광역시,Z
550,대전광역시,Z
551,대전광역시,Z
552,대전광역시,Z
553,대전광역시,Z
554,대전광역시,Z
555,대전광역시,Z
556,대전광역시,Z
557,대전광역시,Z
558,대전광역시,Z
559,대전광역시,Z
560,대전광역시,Z
561,대전광역시,Z
562,대전광역시,Z
563,대전광역시,Z
564,대전광역시,Z
565,대전광역시,Z
566,대전광역시,Z
567,대전광역시,Z
568,대전광역시,Z
569,대전광역시,Z
570,대전광역시,Z
571,대전광역시,Z
572,대전광역시,Z
573,대전광역시,Z
574,대전광역시,Z
575,대전광역시,Z
576,대전광역시,Z
577,대전광역시,Z
578,대전광역시,Z
579,대전광역시,Z
580,대전광역시,Z
581,대전광역시,Z
582,대전광역시,Z
583,대전광역시,Z
584,대전광역시,Z
585,대전광역시,Z
586,대전광역시,Z
587,대전광역시,Z
588,대전광역시,Z
589,대전광역시,Z
590,대전광역시,Z
591,대전광역시,Z
592,대전광역시,Z
593,대전광역시,Z
594,대전광역시,Z
595,대전광역시,Z
596,대전광역시,Z
597,대전광역시,Z
598,대전광역시,Z
599,대전광역시,Z
600,대전광역시,Z
601,대전광역시,Z
602,대전광역시,Z
603,대전광역시,Z
604,대전광역시,Z
605,대전광역시,Z
606,대전광역시,Z
607,대전광역시,Z
608,대전광역시,Z
609,대전광역시,Z
610,대전광역시,Z
611,대전광역시,Z
612,대전광역시,Z
613,대전광역시,Z
614,대전광역시,Z
615,대전광역시,Z
616,대전광역시,Z
617,대전광역시,Z
618,대전광역시,Z
619,대전광역시,Z
620,대전광역시,Z
621,대전광역시,Z
622,대전광역시,Z
623,대전광역시,Z
624,대전광역시,Z
625,대전광역시,Z
626,대전광역시,Z
627,대전광역시,Z
628,대전광역시,Z
629,대전광역시,Z
630,대전광역시,Z
631,대전광역시,Z
632,대전광역시,Z
633,대전광역시,Z
634,대전광역시,Z
635,대전광역시,Z
636,대전광역시,Z
637,대전광역시,Z
638,대전광역시,Z
639,대전광역시,Z
640,대전광역시,Z
641,대전광역시,Z
642,대전광역시,Z
643,대전광역시,Z
644,대전광역시,Z
645,대전광역시,Z
646,대전광역시,Z
647,대전광역시,Z
648,대전광역시,Z
649,대전광역시,Z
650,대전광역시,Z
651,대전광역시,Z
652,대전광역시,Z
653,대전광역시,Z
654,대전광역시,Z
655,대전광역시,Z
656,대전광역시,Z
657,대전광역시,Z
658,대전광역시,Z
659,대전광역시,Z
660,대전광역시,Z
661,대전광역시,Z
662,대전광역시,Z
663,대전광역시,Z
664,대전광역시,Z
665,대전광역시,Z
666,대전광역시,Z
667,대전광역시,Z
668,대전광역시,Z
669,대전광역시,Z
670,대전광역시,Z
671,대전광역시,Z
672,대전광역시,Z
673,대전광역시,Z
674,대전광역시,Z
675,대전광역시,Z
676,대전광역시,Z
677,대전광역시,Z
678,대전광역시,Z
679,대전광역시,Z
