,시도,시군구,육교명,엘리베이터,경사로,점자블럭,리프트,턱,핸드레일,위도,경도,보조시설유무
387,서울특별시,강남구,양재보도육교,Y,N,Y,N,N,N,37.49328988,127.0951503,TW
388,서울특별시,강남구,양재천보도육교,Y,N,Y,N,N,N,37.48806952,127.0534832,TW
389,서울특별시,강남구,말죽거리보도육교,Y,N,Y,N,N,N,37.48536752,127.0377727,TW
390,,,일원탄천보도육교,N,Y,Y,N,N,N,37.496697,127.088375,TW
391,서울특별시,강서구,수명산보도육교,N,N,N,N,N,N,37.553206,126.825094,Z
392,서울특별시,강서구,가곡초교입구보도육교,Y,N,N,N,N,N,37.556773,126.836942,A
393,서울특별시,강서구,스카이파크보도육교,Y,N,N,N,N,N,37.563795,126.806728,A
394,서울특별시,강서구,증미역연결보도육교,N,N,N,N,N,N,37.558829,126.861266,Z
395,서울특별시,성북구,숭덕초교앞 보도육교,Y,N,N,N,N,N,37.603501,127.014203,A
396,서울특별시,성동구,행당초교앞보도육교,N,N,N,N,N,N,37.55754545,127.0340916,Z
397,서울특별시,성동구,응봉산대현산간생태육교,N,N,N,N,N,N,37.54917648,127.0292613,Z
398,서울특별시,성동구,행당스카이워크,Y,N,N,N,N,N,37.55682075,127.0394077,A
399,서울특별시,노원구,상계역육교,N,N,N,N,N,N,37.66230302,127.0735817,Z
400,서울특별시,노원구,상징탑육교,N,Y,N,N,N,N,37.6389605,127.0663451,B
401,서울특별시,노원구,광운대역육교,Y,N,N,N,N,N,37.62365522,127.063988,A
402,서울특별시,노원구,삼육육교,Y,N,N,N,N,N,37.64335737,127.1088503,A
403,서울특별시,노원구,백운육교,N,Y,N,N,N,N,37.68621458,127.0528727,B
404,서울특별시,노원구,수락육교,N,Y,N,N,N,N,37.68864404,127.0558536,B
405,강원도,춘천시,온의육교,Y,N,N,N,N,N,37.863336,127.719436,A
406,강원도,춘천시,칠전육교,N,Y,N,N,N,N,37.840538,127.714284,B
407,경기도,남양주시,별내1육교(한별초등학교 앞 육교),N,Y,Y,N,N,N,37.64480145,127.1176916,TW
408,경기도,남양주시,별내2육교(신일 유토빌 앞 육교),N,Y,Y,N,N,N,37.64662797,127.1142537,TW
409,경기도,남양주시,별내3육교(대원칸타빌 앞 육교),N,Y,Y,N,N,N,37.66167002,127.1267984,TW
410,경기도,남양주시,별내4육교(별내동 주민센터앞육교),Y,Y,Y,N,N,N,37.64616615,127.1218825,TH
411,경기도,남양주시,진접지구보도육교1.2(풍양육교),Y,N,Y,N,N,N,37.71884601,127.1910173,TW
412,경기도,남양주시,진접지구보도육교1.2(진접육교),Y,N,Y,N,N,N,37.7148201,127.1869758,TW
413,경기도,남양주시,다산육교,Y,N,Y,N,N,N,37.60023437,127.1743068,TW
414,경기도,남양주시,도농보도육교,Y,N,Y,N,N,N,37.60577935,127.1551897,TW
415,경기도,남양주시,장승보도육교(의정부국토관리사무소육교현장),Y,N,Y,N,N,N,37.72960264,127.1941977,TW
416,경기도,남양주시,진접보도육교,N,N,N,N,N,N,37.73655096,127.1947104,Z
417,대전광역시,유성구,죽동보도육교,N,N,N,N,N,N,36.36645304,127.3334328,Z
418,대전광역시,유성구,월드컵보도육교,N,N,N,N,N,N,36.366831,127.321186,Z
419,경기도,군포시,군포초교 보도육교,N,N,N,N,N,N,37.34823766,126.9419284,Z
420,경기도,군포시,4단지 보도육교,N,N,N,N,N,N,37.34945226,126.9259671,Z
421,서울특별시,성북구,청덕초교앞 보도육교,Y,N,N,N,N,N,37.608602,126.999603,A
422,서울특별시,성북구,국민대앞 보도육교,Y,N,N,N,N,N,37.609903,126.996101,A
423,서울특별시,성북구,일신초교앞 보도육교,N,N,N,N,N,N,37.600401,127.040601,Z
424,서울특별시,성북구,한국과학기술원앞 보도육교,Y,N,N,N,N,N,37.604811,127.045503,A
425,부산광역시,동래구,금강공원 공영주차장 앞 육교,N,N,N,N,N,N,35.223165,129.077341,Z
426,부산광역시,동래구,안락동 롯데캐슬 앞 육교,N,N,N,N,N,N,35.197559,129.099082,Z
427,부산광역시,동래구,온천장역 앞 육교,N,N,N,N,N,N,35.221174,129.086511,Z
428,부산광역시,동래구,명륜역 육교,N,N,N,N,N,N,35.212111,129.078911,Z
429,부산광역시,금정구,금정문화회관 앞,Y,N,N,N,N,N,35.24524449,129.0926556,A
430,부산광역시,금정구,태광산업 앞,N,N,N,N,N,N,35.24839613,129.0916822,Z
431,부산광역시,금정구,서곡초교 앞,N,Y,N,N,N,N,35.21862801,129.104521,B
432,부산광역시,금정구,동상초교 앞,N,N,N,N,N,N,35.21174966,129.1065875,Z
433,대전광역시,중구,충남여고앞 보도육교,N,Y,N,N,N,N,36.33111601,127.4095723,B
434,대전광역시,중구,오류동 보도육교,N,Y,N,N,N,N,36.32403193,127.4020094,B
435,대전광역시,중구,산성동 보도육교,N,Y,N,N,N,N,36.30816072,127.3914718,B
436,대전광역시,중구,문화동 보도육교,N,Y,N,N,N,N,36.30996358,127.3972769,B
437,대전광역시,중구,버드내마을 아파트 앞 보도육교,Y,Y,N,N,N,N,36.31577204,127.3883388,TW
438,대전광역시,중구,안영동 보도육교,Y,Y,N,N,N,N,36.28231876,127.3763437,TW
439,대구광역시,북구,고성보도육교,Y,N,N,N,N,N,35.878123,128.585014,A
440,대구광역시,북구,팔달육교,Y,N,N,N,N,N,35.898654,128.548255,A
441,대구광역시,북구,복현육교,N,N,N,N,N,N,35.89844931,128.6190935,Z
442,대구광역시,북구,검단육교,N,N,N,N,N,N,35.90114981,128.6157981,Z
443,대구광역시,북구,동북육교,N,N,N,N,N,N,35.89509115,128.6181972,Z
444,대구광역시,북구,동호육교,N,N,N,N,N,N,35.957425,128.566076,Z
445,대구광역시,북구,태현육교,N,N,N,N,N,N,35.930045,128.539857,Z
446,대구광역시,북구,동천육교,N,N,N,N,N,N,35.942854,128.563635,Z
447,대구광역시,북구,구암육교,N,N,N,N,N,N,35.939327,128.562937,Z
448,대구광역시,북구,대구역육교,N,N,N,N,N,N,35.876421,128.594877,Z
449,대구광역시,북구,사수육교,N,Y,N,N,N,N,35.901559,128.513193,B
450,경기도,고양시,지상경사로15,N,Y,N,N,N,N,37.68047139,126.7515967,B
451,경기도,고양시,지상경사로17,N,Y,N,N,N,N,37.66834954,126.765681,B
452,경기도,고양시,지상경사로18,N,Y,N,N,N,N,37.67774582,126.7707145,B
453,경기도,고양시,지상경사로19,N,Y,N,N,N,N,37.68113823,126.7608067,B
454,경기도,고양시,충장육교,Y,N,N,N,N,N,37.61373849,126.8292768,A
455,경기도,고양시,킨텍스 보도육교,Y,Y,N,N,N,N,37.66464875,126.7420642,TW
456,경기도,고양시,탄현덕이보도육교,Y,N,N,N,N,N,37.70273093,126.760421,A
457,경기도,고양시,탄현역육교,Y,Y,N,N,N,N,37.69507267,126.7621663,TW
458,경기도,고양시,태영동문육교,N,Y,N,N,N,N,37.68578216,126.7655771,B
459,경기도,고양시,토당초교앞보도육교,Y,N,N,N,N,N,37.61770701,126.8257797,A
460,경기도,고양시,풍동육교,N,Y,Y,N,N,N,37.67083031,126.7996206,TW
461,경기도,고양시,풍동육교,N,Y,Y,N,N,N,37.67083031,126.7996206,TW
462,경기도,고양시,하이파크1육교,Y,Y,N,N,N,N,37.70380951,126.7533094,TW
463,경기도,고양시,하이파크2육교,Y,Y,N,N,N,N,37.69977416,126.7510489,TW
464,경기도,고양시,하이파크3육교,Y,Y,N,N,N,N,37.69747377,126.7523172,TW
465,경기도,고양시,하이파크4육교,Y,Y,N,N,N,N,37.69811075,126.7555528,TW
466,경기도,고양시,행신제1보도육교,N,Y,N,N,N,N,37.62247076,126.8360702,B
467,경기도,고양시,호수중앙육교(샵8),N,Y,N,N,N,N,37.65948674,126.7726989,B
468,경기도,고양시,호수중앙육교(샵8),N,Y,N,N,N,N,37.65948674,126.7726989,B
469,경기도,고양시,화전보도육교,N,N,N,N,N,N,37.60196104,126.8716589,Z
470,울산광역시,남구,신정육교,Y,N,N,N,N,N,35.54931947,129.3129127,A
471,울산광역시,남구,솔마루다리,N,N,N,N,N,N,35.52042024,129.3118247,Z
472,부산광역시,동래구,안남초등학교 앞 육교,N,N,N,N,N,N,35.191916,129.107461,Z
473,부산광역시,동래구,신화타워 앞 육교,N,N,N,N,N,N,35.214116,129.080172,Z
474,경기도,고양시,서정2보도육교,N,N,N,N,N,N,37.61881372,126.8535919,Z
475,경기도,고양시,서정3보도육교,N,Y,N,N,N,N,37.61842845,126.8497837,B
476,경기도,고양시,서정4보도육교,N,Y,N,N,N,N,37.61662518,126.8469549,B
477,경기도,고양시,서정5보도육교,Y,N,N,N,N,N,37.61662518,126.8469549,A
