육교명,도로종류,도로노선번호,도로노선명,소재지도로명주소,위도,경도,육교연장,육교높이,허용통행하중,통행제한높이,육교폭,난간높이,조명개수,장애인편의시설설치여부,장애인편의시설종류,장애인편의시설수량,부대시설종류,부대시설수량,육교준공일자,내진설계적용여부,안전등급,사용제한구분,육교보수보강내역,최종안전점검유형,최종안전점검일자,관리기관명,데이터기준일자,제공기관코드,제공기관명
강촌육교(샵10),시도,62번,강송로,경기도 고양시 일산동구 강송로 217번길 49,37.6565703,126.7792186,79.1,31.8,,4.5,5.4,,,Y,점자블럭+경사로,2.0,없음,,1993-01-01,N,양호,제한없음,,정기점검,2022-05-16,경기도 고양시청,2022-11-10,3940000,경기도 고양시
나비구름다리,기타,,호수로,경기도 고양시 일산서구 호수로 817 (대화동),37.66799365,126.7516307,61.0,61.0,,4.5,6.0,,,Y,점자블럭+경사로,2.0,없음,,2005-10-27,N,양호,제한없음,세척,정기점검,2022-06-17,경기도 고양시청,2022-11-10,3940000,경기도 고양시
높빛구름다리,기타,,킨텍스로,경기도 고양시 일산서구 킨텍스로 217-6,37.66620656,126.747672,81.0,81.0,,4.5,6.0,,,Y,점자블럭+경사로,2.0,없음,,2005-03-15,N,양호,제한없음,계단판석 보수,정기점검,2022-06-17,경기도 고양시청,2022-11-10,3940000,경기도 고양시
다솜육교,기타,,숲속마을로,경기도 고양시 일산동구 숲속마을2로 147,37.67242119,126.7974725,78.0,78.0,,4.6,4.0,,,Y,점자블럭+경사로,2.0,없음,,2006-09-25,N,양호,제한없음,,정기점검,2022-05-16,경기도 고양시청,2022-11-10,3940000,경기도 고양시
마두1동육교(샵2),기타,,강송로,경기도 고양시 일산동구 강송로 175-1,37.65418455,126.7835689,84.0,21.0,,4.5,7.9,,,Y,점자블럭+경사로,2.0,없음,,1993-05-10,N,양호,제한없음,배수구 청소,정기점검,2022-05-16,경기도 고양시청,2022-11-10,3940000,경기도 고양시
마두2동육교(샵3),기타,,강송로,경기도 고양시 일산동구 강송로 181,37.65458633,126.7831444,118.0,25.0,,4.5,5.4,,,Y,점자블럭+경사로,2.0,없음,,1992-09-01,N,양호,제한없음,,정기점검,2022-05-16,경기도 고양시청,2022-11-10,3940000,경기도 고양시
밤가시육교(샵9),기타,,일산로,경기도 고양시 일산동구 일산로 333-1,37.66515333,126.7835571,131.0,37.0,,4.5,7.9,,,Y,점자블럭+경사로,2.0,없음,,1992-04-01,N,양호,제한없음,논슬립 교체+ 장애인점자블럭 정비,정기점검,2022-05-16,경기도 고양시청,2022-11-10,3940000,경기도 고양시
백마육교(샵5),시도,62번,강송로,경기도 고양시 일산동구 강송로 196,37.65630577,126.783197,96.6,96.6,,4.5,5.4,,,Y,점자블럭+경사로,2.0,없음,,1992-09-01,N,양호,제한없음,콘크리트보수도장,정기점검,2022-05-16,경기도 고양시청,2022-11-10,3940000,경기도 고양시
백석도서관육교(샵1),기타,,일산로,경기도 고양시 일산동구 일산로 111,37.64724262,126.792521,67.5,28.0,,4.5,5.8,,,Y,점자블럭+경사로,2.0,없음,,1994-07-01,N,양호,제한없음,석재판 보수,정기점검,2022-05-16,경기도 고양시청,2022-11-10,3940000,경기도 고양시
백송구름다리,시도,71번,킨텍스로,경기도 고양시 일산서구 킨텍스로 217-60,37.66893348,126.7458028,45.0,45.0,,4.5,6.0,,,Y,점자블럭+경사로,2.0,없음,,2005-10-28,N,양호,제한없음,세척,정기점검,2022-06-17,경기도 고양시청,2022-11-10,3940000,경기도 고양시
벽제보도육교,일반국도,39번,호국로,경기도 고양시 덕양구 호국로 1413,37.68098252,126.8929304,39.6,39.6,,4.5,2.3,,,Y,점자블럭+경사로,2.0,없음,,1996-01-01,N,양호,제한없음,,정기점검,2022-06-15,경기도 고양시청,2022-11-10,3940000,경기도 고양시
청계육교,일반국도,국도1호선,안양판교로,경기도 의왕시 안양판교로 238,37.38896233,126.9975722,41.0,5.2,,5.0,3.0,1.3,22.0,Y,엘리베이터+점자블럭,3.0,엘리베이터,2.0,2008-12-31,N,양호,제한없음,목재데크재+도장,정기점검,2020-04-02,경기도 의왕시청,2022-11-21,4030000,경기도 의왕시
고천육교,일반국도,국도1호선,경수대로,경기도 의왕시 경수대로 233,37.347615,126.974206,33.0,6.3,,5.0,4.4,1.15,8.0,Y,엘리베이터+점자블럭,3.0,엘리베이터,2.0,2007-12-30,N,양호,제한없음,,정기점검,2020-04-02,경기도 의왕시청,2022-11-21,4030000,경기도 의왕시
오전육교,일반국도,국도1호선,경수대로,경기도 의왕시 경수대로 307,37.353631,126.970361,76.4,6.5,,5.0,4.4,1.17,8.0,Y,엘리베이터+점자블럭,3.0,엘리베이터,2.0,2007-12-30,N,양호,제한없음,목재데크+ 배수관 재설치,정기점검,2020-04-02,경기도 의왕시청,2022-11-21,4030000,경기도 의왕시
포일숲속보도육교,일반국도,국도1호선,성고개로,경기도 의왕시이미로 40,37.40180614,126.9918992,34.0,5.7,,5.5,3.5,1.2,7.0,Y,엘리베이터+점자블럭,3.0,엘리베이터,2.0,,N,양호,제한없음,,정기점검,2020-04-02,경기도 의왕시청,2022-11-21,4030000,경기도 의왕시
