육교명,도로종류,도로노선번호,도로노선명,소재지도로명주소,위도,경도,육교연장,육교높이,허용통행하중,통행제한높이,육교폭,난간높이,조명개수,장애인편의시설설치여부,장애인편의시설종류,장애인편의시설수량,부대시설종류,부대시설수량,육교준공일자,내진설계적용여부,안전등급,사용제한구분,육교보수보강내역,최종안전점검유형,최종안전점검일자,관리기관명,데이터기준일자,제공기관코드,제공기관명
원적산터널보도육교,구도,,서달로,인천광역시 서구 서달로 77,37.505917,126.678566,75.0,5.0,,4.5,4.0,1.5,8.0,Y,경사로,4.0,N,0.0,2004-07-31,N,양호,제한없음,,정기점검,2019-05-17,인천광역시 서구,2022-07-20,3560000,인천광역시 서구
호수공원육교,시도,,광교호수로,경기도 수원시 영통구 광교호수로152번길 80,37.27831028,127.0681819,109.0,6.0,,5.0,4.5,,,Y,엘리베이터+경사로,,,,, ,양호,제한없음,,정기점검,2021-05-28,경기도 수원시 영통구청,2022-09-30,3740000,경기도 수원시
푸른숲육교,시도,,칠보로,경기도 수원시 권선구 칠보로 102,37.26579489,126.9504993,45.0,,,4.3,6.0,,,Y,경사로,,,,, ,양호,제한없음,,정기점검,2021-05-21,경기도 수원시 권선구청,2022-09-30,3740000,경기도 수원시
참나래육교,시도,,금곡로,경기도 수원시 권선구 금곡로140번길 29,37.27202406,126.9457173,45.0,,,4.8,20.0,,,Y,경사로,,,,, ,양호,제한없음,,정기점검,2021-05-21,경기도 수원시 권선구청,2022-09-30,3740000,경기도 수원시
가온육교,시도,,금곡로,경기도 수원시 권선구 금곡로 126,37.2736145,126.9444852,40.0,,,4.0,7.0,,,Y,경사로,,,,, ,양호,제한없음,,정기점검,2021-05-21,경기도 수원시 권선구청,2022-09-30,3740000,경기도 수원시
서호육교,시도,,덕영대로,경기도 수원시 팔달구 덕영대로735번길 18,37.28135952,126.9925868,100.0,,,7.0,3.0,,,Y,경사로,,,,, ,보통,제한없음,,정기점검,2021-04-24,경기도 수원시 팔달구청,2022-09-30,3740000,경기도 수원시
정천정문육교,시도,,일월천로,경기도 수원시 장안구 일월천로 77,37.2868358,126.9777941,28.4,5.0,,4.5,4.0,,,Y,경사로,,,,, ,보통,제한없음,,정기점검,2021-04-24,경기도 수원시 팔달구청,2022-09-30,3740000,경기도 수원시
정천후문육교,시도,,정자천로,경기도 수원시 팔달구 정자천로14번길 6-2,37.2884214,126.9790385,58.1,5.0,,4.5,3.0,,,Y,경사로,,,,, ,보통,제한없음,,정기점검,2021-04-24,경기도 수원시 팔달구청,2022-09-30,3740000,경기도 수원시
효성육교,시도,,월드컵로,경기도 수원시 팔달구 월드컵로 256,37.28347335,127.0393624,184.0,5.0,,4.8,4.4,,,Y,경사로,,,,, ,보통,제한없음,,정기점검,2021-04-24,경기도 수원시 팔달구청,2022-09-30,3740000,경기도 수원시
창룡육교,시도,,경수대로,경기도 수원시 팔달구 경수대로692번길 7,37.28720316,127.0269927,35.8,5.0,,5.0,3.4,,,Y,경사로,,,,, ,보통,제한없음,,정기점검,2021-04-24,경기도 수원시 팔달구청,2022-09-30,3740000,경기도 수원시
청소년육교,시도,,권광로,경기도 수원시 영통구 권광로 302,37.2739591,127.0371102,80.0,5.0,,4.5,8.0,,,Y,경사로,,,,, ,양호,제한없음,,정기점검,2021-04-24,경기도 수원시 팔달구청,2022-09-30,3740000,경기도 수원시
인도래교,시도,,권광로,경기도 수원시 팔달구 권광로 243,37.26931703,127.034412,50.0,5.0,,5.0,5.0,,,Y,경사로,,,,, ,양호,제한없음,,정기점검,2021-04-24,경기도 수원시 팔달구청,2022-09-30,3740000,경기도 수원시
큰말육교(청명육교),시도,,청명로,경기도 수원시 영통구 청명로 130,37.25686099,127.0744662,54.9,6.4,,4.8,5.4,,,Y,경사로,,,,, ,보통,제한없음,,정기점검,2021-05-28,경기도 수원시 영통구청,2022-09-30,3740000,경기도 수원시
황골육교,시도,,봉영로,경기도 수원시 영통구 봉영로 1763,37.2664538,127.081651,58.4,6.0,,4.8,5.4,,,Y,경사로,,,,, ,보통,제한없음,,정기점검,2021-05-28,경기도 수원시 영통구청,2022-09-30,3740000,경기도 수원시
효사랑육교,시도,,효원로,경기도 수원시 영통구 효원로 363,37.26153322,127.0395242,76.0,6.5,,5.0,4.6,,,Y,경사로,,,,, ,양호,제한없음,,정기점검,2021-05-28,경기도 수원시 영통구청,2022-09-30,3740000,경기도 수원시
웰빙센터앞 보도육교,일반국도,7번,동해대로,강원도 동해시 동해대로,37.515011,129.1041113,13.58,5.0,,4.5,4.0,,,Y,경사로,1.0,,,2002-07-01,N,양호,제한없음,,정기점검,2021-11-03,강원도 동해시,2022-10-07,4210000,강원도 동해시
대평육교,시도,,만석로,경기도 수원시 장안구 만석로68번길 7,37.29743078,126.9898152,35.0,5.0,,5.0,4.0,,,Y,경사로,,,,, ,보통,제한없음,,정기점검,2021-06-21,경기도 수원시 장안구청,2022-09-30,3740000,경기도 수원시
연꽃육교,시도,,정자천로,경기도 수원시 장안구 정자천로 187,37.2965283,126.9954537,35.0,5.0,,5.0,4.0,,,Y,경사로,,,,, ,보통,제한없음,,정기점검,2021-06-21,경기도 수원시 장안구청,2022-09-30,3740000,경기도 수원시
효정육교,시도,,동수원로,경기도 수원시 권선구 동수원로285번길 5,37.25513574,127.0349022,34.6,,,5.0,4.0,,,Y,경사로,,,,, ,보통,제한없음,,정기점검,2021-05-21,경기도 수원시 권선구청,2022-09-30,3740000,경기도 수원시
구운육교,일반국도,42번,구운로,경기도 수원시 권선구 구운로14번길 42,37.27874842,126.9758428,53.5,5.0,,4.8,4.0,,,Y,경사로,,,,, ,보통,제한없음,,정기점검,2021-05-21,경기도 수원시 권선구청,2022-09-30,3740000,경기도 수원시
궁촌육교,시도,,덕영대로,경기도 수원시 권선구 덕영대로1323번길 26-14,37.24687115,127.0362901,65.0,5.0,,5.0,5.5,,,Y,엘리베이터+경사로,,,,, ,보통,제한없음,,정기점검,2021-05-21,경기도 수원시 권선구청,2022-09-30,3740000,경기도 수원시
권선3지구육교,시도,,동탄원천로,경기도 수원시 권선구 동탄원천로813번길 16,37.24853085,127.0388384,84.0,5.0,,4.8,5.0,,,Y,경사로,,,,, ,보통,제한없음,,정기점검,2021-05-21,경기도 수원시 권선구청,2022-09-30,3740000,경기도 수원시
우림아파트앞 육교,일반국도,1호선,경기대로,경기도 오산시 경기대로 74,37.131121,127.072106,33.0,3.0,,3.0,3.0,1.2,,Y,경사로,,,,2005-01-01,N,양호,제한없음,,정기점검,2019-12-28,경기도 오산시청,2022-09-13,4000000,경기도 오산시
가수초등학교앞 육교,기타,,가수로,경기도 오산시 가수로 50,37.147519,127.048101,17.0,4.0,,4.0,4.0,1.2,,Y,경사로,,,,2006-01-01,N,양호,제한없음,,정기점검,2019-12-28,경기도 오산시청,2022-09-13,4000000,경기도 오산시
고현초등학교앞 보도육교,지방도,310호선,시도,경기도 오산시 남부대로 459,37.132856,127.085193,26.76,3.5,,3.5,3.5,1.2,,Y,경사로,,,,2009-01-01,N,양호,제한없음,,정기점검,2019-12-28,경기도 오산시청,2022-09-13,4000000,경기도 오산시
광성초교앞 보도육교,기타,,서부로,경기도 오산시 수목원로 577-18,37.183341,127.039203,46.0,4.0,,4.0,4.0,1.2,,Y,경사로,,,,2011-01-01,N,양호,제한없음,,정기점검,2019-12-28,경기도 오산시청,2022-09-13,4000000,경기도 오산시
독산한내 보도육교,구도,,서해안고속도로,서울특별시 금천구 벚꽃로 73,37.462907,126.890424,46.0,,,4.5,5.7,,,Y,경사로,,없음,,2008-01-11, ,보통,제한없음,목재데크설치(246㎡),정기점검,2021-12-16,서울특별시 금천구청,2022-08-25,3170000,서울특별시 금천구
양곡육교3,지방도,356호선,양곡4로,경기도 김포시 양촌읍 양곡리 양곡4로,37.6625476,126.633914,33.0,,,5.0,4.0,1.0,,Y,경사로,2.0,없음,,2008-01-01,Y,보통,제한없음,,정기점검,2022-06-30,경기도 김포시청 도로관리과,2022-11-02,4090000,경기도 김포시
터미널육교,기타,,금오대로,충청남도 예산군 예산읍 금오대로 35-14,36.6944597,126.8323637,37.9,0.0,13.5,4.8,0.0,0.0,0.0,Y,경사로,1.0,없음,0.0,1999-12-20,N,양호,제한없음,우레탄보도 정비 A=280㎡,정기점검,2022-06-30,충청남도 예산군청,2022-10-13,4610000,충청남도 예산군
신림동보라매공원,시도,,신사로,서울특별시 관악구 신사로 130,37.48867351,126.916324,72.0,,,4.5,4.0,,,Y,경사로,2.0,,,1998-02-28,N,보통,제한없음,배수구 청소,정기점검,2022-06-14,서울특별시 관악구청,2022-09-28,3200000,서울특별시 관악구
봉현초교앞,시도,,관악로,서울특별시 관악구 관악로 304,37.49205057,126.957711,43.0,,,4.5,6.0,,,Y,경사로,2.0,,,2003-01-28,N,양호,제한없음,,정기점검,2022-06-14,서울특별시 관악구청,2022-09-28,3200000,서울특별시 관악구
구암초교앞,시도,,은천로,서울특별시 관악구 은천로 93,37.48728083,126.9452473,28.0,,,4.5,4.5,,,Y,경사로,1.0,,,2005-06-30,N,양호,제한없음,난간 휨 보수+논슬립설치 및 계단정비,정기점검,2022-06-14,서울특별시 관악구청,2022-09-28,3200000,서울특별시 관악구
수청동 육교,시도,,내삼미로,경기도 오산시 내삼미로 9,37.1634438,127.0683258,23.0,2.3,,2.3,2.3,1.2,,Y,경사로,,,,1999-01-01,N,양호,제한없음,,정기점검,2019-12-28,경기도 오산시청,2022-09-13,4000000,경기도 오산시
운암 육교,시도,,운천로,경기도 오산시 운천로 12,37.142879,127.074783,30.0,4.0,,4.0,4.0,1.2,,Y,경사로,,,,2001-01-01,N,양호,제한없음,,정기점검,2019-12-28,경기도 오산시청,2022-09-13,4000000,경기도 오산시
성호중고 육교,시도,,동부대로,경기도 오산시 동부대로 429-3,37.140295,127.078279,31.5,3.0,,3.0,3.0,1.2,,Y,경사로,,,,2005-01-01,N,양호,제한없음,,정기점검,2019-12-28,경기도 오산시청,2022-09-13,4000000,경기도 오산시
호암지육교,시도,,중원대로,충청북도 충주시 중원대로,36.964295,127.924624,,,,4.5,,,,Y,경사로,,없음,,, ,양호,제한없음,,정기점검,2020-06-23,충청북도 충주시청,2022-10-31,4390000,충청북도 충주시
사우육교1,시도,,김포대로,경기도 김포시 김포대로,37.621081,126.717038,50.0,,,4.8,3.8,1.0,,Y,경사로,2.0,없음,,2000-12-01,Y,보통,제한없음,,정기점검,2022-06-30,경기도 김포시청 도로관리과,2022-11-02,4090000,경기도 김포시
사우육교2,시도,,김포대로,경기도 김포시 사우동 김포대로,37.619587,126.719212,50.0,,,4.8,3.8,1.0,,Y,경사로,2.0,없음,,2000-12-01,Y,보통,제한없음,,정기점검,2022-06-30,경기도 김포시청 도로관리과,2022-11-02,4090000,경기도 김포시
마송육교1,일반국도,48번,김포대로,경기도 김포시 통진읍 마송리 김포대로,37.686773,126.590259,57.0,,,4.5,4.0,1.0,,Y,경사로,2.0,없음,,2008-01-01,Y,보통,제한없음,,정기점검,2022-06-30,경기도 김포시청 도로관리과,2022-11-02,4090000,경기도 김포시
마송육교2,일반국도,48번,김포대로,경기도 김포시 통진읍 마송리 김포대로,37.687265,126.590619,51.0,,,4.5,4.0,1.0,,Y,경사로,2.0,없음,,2008-01-01,Y,보통,제한없음,,정기점검,2022-06-30,경기도 김포시청 도로관리과,2022-11-02,4090000,경기도 김포시
양곡육교1,지방도,356호선,양곡4로,경기도 김포시 양촌읍 양곡리 양곡4로,37.6625476,126.633914,31.0,,,5.4,4.0,1.0,,Y,경사로,2.0,없음,,2008-01-01,Y,보통,제한없음,,정기점검,2022-06-30,경기도 김포시청 도로관리과,2022-11-02,4090000,경기도 김포시
양곡육교2,시도,,양곡4로,경기도 김포시 양촌읍 양곡리 양곡4로,37.6560249,126.6306603,32.0,,,5.4,4.0,1.0,,Y,경사로,2.0,없음,,2008-01-01,Y,보통,제한없음,,정기점검,2022-06-30,경기도 김포시청 도로관리과,2022-11-02,4090000,경기도 김포시
낙섬사거리보도육교,구도,,"매소홀로, 아암대로",인천광역시 미추홀구 매소홀로 45,37.45127311,126.631758,88.0,4.5,,4.5,3.0,,,Y,경사로,3.0,없음,,2002-11-19, ,보통,제한없음,기둥+거더+계단 보수,정기점검,2021-12-17,인천광역시 미추홀구청,2022-10-20,3510500,인천광역시 미추홀구
관교보도육교,구도,,경원대로,인천광역시 미추홀구 주승로 180,37.445337,126.690402,126.0,5.5,,5.5,3.8,,,Y,경사로,2.0,없음,,1999-12-19, ,보통,제한없음,기둥+거더+계단 보수,정기점검,2021-12-17,인천광역시 미추홀구청,2022-10-20,3510500,인천광역시 미추홀구
사동보도육교,시도,,경충대로,경기도 이천시 대월면 사동로 176,37.24461709,127.4948977,30.0,5.0,,5.0,2.0,,12.0,Y,경사로,1.0,없음,0.0,,N,보통,제한없음,,정기점검,2021-06-30,경기도 이천시청,2022-09-16,4070000,경기도 이천시
성호육교,시도,,광장로,전라남도 광양시 광장로 70,34.93340735,127.6904363,26.0,,,4.8,3.0,,,Y,경사로,,,,2015-01-01, ,보통,제한없음,,정기점검,2018-12-31,전라남도 광양시청,2022-09-15,4840000,전라남도 광양시
백운육교,일반국도,2,금호로,전라남도 광양시 금호로 215,34.94245668,127.7265646,35.0,,,5.4,3.0,,,Y,경사로,,,,1996-01-01, ,보통,제한없음,,정기점검,2018-12-31,전라남도 광양시청,2022-09-15,4840000,전라남도 광양시
금당육교,일반국도,2,금호로,전라남도 광양시 희망길 8,34.936176,127.7253574,35.0,,,4.7,3.0,,,Y,경사로,,,,1989-01-01, ,보통,제한없음,,정기점검,2018-12-31,전라남도 광양시청,2022-09-15,4840000,전라남도 광양시
