육교명,도로종류,도로노선번호,도로노선명,소재지도로명주소,위도,경도,육교연장,육교높이,허용통행하중,통행제한높이,육교폭,난간높이,조명개수,장애인편의시설설치여부,장애인편의시설종류,장애인편의시설수량,부대시설종류,부대시설수량,육교준공일자,내진설계적용여부,안전등급,사용제한구분,육교보수보강내역,최종안전점검유형,최종안전점검일자,관리기관명,데이터기준일자,제공기관코드,제공기관명
오륙도길,구도,,오륙도로,부산광역시 남구 오륙도로 85,35.1022182,129.1167677,30.5,5.0,,5.0,3.0,,,Y,엘리베이터,,,,2008-12-01, ,양호,제한없음,,정기점검,2019-03-14,부산광역시 남구청,2023-01-20,3310000,부산광역시 남구
신선대지하차도앞,시도,,신선로,부산광역시 남구 신선로 466,35.1262586,129.1013948,32.8,5.0,,5.0,3.0,,,Y,엘리베이터,,,,2016-01-01, ,양호,제한없음,,정기점검,2019-03-14,부산광역시 남구청,2023-01-20,3310000,부산광역시 남구
중촌시민공원육교,특별시도,,어덕마을로,대전광역시 중구 어덕마을로 113,36.34121168,127.405734,57.0,0.0,0.0,5.0,2.0,0.0,0.0,Y,엘리베이터,,,,,N,보통,제한없음,,정기점검,1900-01-01,대전광역시,2023-01-05,6300000,대전광역시
월드컵대로육교,특별시도,,월드컵대로,대전광역시 유성구 계룡로132번길 62,36.34851635,127.3437547,82.0,0.0,0.0,5.0,4.0,0.0,0.0,Y,엘리베이터,,,,,N,보통,제한없음,,정기점검,1900-01-01,대전광역시,2023-01-05,6300000,대전광역시
원신흥보도육교,특별시도,,원신흥로,대전광역시 유성구 원신흥로55번길 66-25,36.33862935,127.3445289,158.0,0.0,0.0,5.0,5.0,0.0,0.0,Y,엘리베이터+경사로,,,,,N,보통,제한없음,,정기점검,1900-01-01,대전광역시,2023-01-05,6300000,대전광역시
상대보도육교,특별시도,,월드컵대로,대전광역시 유성구 월드컵대로321번길 2,36.34846291,127.3366639,65.0,0.0,0.0,5.0,5.0,0.0,0.0,Y,엘리베이터+경사로,,,,,N,보통,제한없음,,정기점검,1900-01-01,대전광역시,2023-01-05,6300000,대전광역시
원신흥들육교,특별시도,,원신흥로,대전광역시 유성구 도안동로 390-15,36.34033103,127.3502183,57.0,0.0,0.0,5.0,4.0,0.0,0.0,Y,엘리베이터,,,,,N,보통,제한없음,,정기점검,1900-01-01,대전광역시,2023-01-05,6300000,대전광역시
영어교육도시 육교,시도,19호선,글로벌에듀로,제주특별자치도 서귀포시 대정읍 글로벌에듀로 234,33.28997179,126.2872649,82.0,,,5.0,9.0,,,Y,엘리베이터,1.0,엘리베이터,1.0,,N,양호,제한없음,,정밀점검,2011-11-03,제주특별자치도 서귀포시청,2022-12-15,6520000,제주특별자치도 서귀포시
좌천구름다리,기타,,이면도로,부산광역시 동구 성남이로59번길19-2,35.13305555,129.0553872,30.0,8.5,,8.5,3.0,,,Y,엘리베이터,,,,1970-01-01, ,양호,제한없음,,정기점검,2022-12-31,부산광역시 동구청,2022-12-08,3270000,부산광역시 동구
제천역 선상보도육교,국가지원지방도,82번,의림대로,충청북도 제천시 의림대로 1(영천동),37.12887867,128.2042885,250.0,10.0,,3.0,3.3,3.0,,Y,엘리베이터,2.0,,,2020-11-10,Y,양호,제한없음,,정기점검,2022-02-10,충청북도 제천시청,2022-11-30,4400000,충청북도 제천시
덕풍북로 보도육교,시도,188,덕풍북로,경기도 하남시 덕풍북로 100,37.5543847,127.2013921,82.2,,,4.5,,,,Y,엘리베이터+경사로,,,,,Y,우수,제한없음,,정기점검,2022-10-13,경기도 하남시청,2022-12-19,4040000,경기도 하남시
덕풍로 보도육교(1),시도,199,덕풍로,경기도 하남시 덕풍서로 65,37.552943,127.2037608,64.9,,,4.5,,,,Y,엘리베이터+경사로,,,,,Y,양호,제한없음,,정기점검,2022-10-13,경기도 하남시청,2022-12-19,4040000,경기도 하남시
덕풍서로 보도육교,시도,201,덕풍서로,경기도 하남시 덕풍서로 65,37.552943,127.2037608,63.9,,,4.5,,,,Y,엘리베이터+경사로,,,,,Y,양호,제한없음,,정기점검,2022-10-13,경기도 하남시청,2022-12-19,4040000,경기도 하남시
덕풍동로 보도육교,기타,도시계획도로,덕풍동로,경기도 하남시 덕풍동로 110,37.5511015,127.2096552,61.0,,,4.5,,,,Y,엘리베이터+경사로,,,,,Y,우수,제한없음,,정기점검,2022-10-13,경기도 하남시청,2022-12-19,4040000,경기도 하남시
덕풍로 보도육교(2),시도,199,덕풍로,경기도 하남시 덕풍동로 110,37.5511015,127.2096552,64.9,,,4.5,,,,Y,엘리베이터+경사로,,,,,Y,양호,제한없음,,정기점검,2022-10-13,경기도 하남시청,2022-12-19,4040000,경기도 하남시
덕풍남로 보도육교,시도,186,덕풍남로,경기도 하남시 덕풍북로 260,37.54855826,127.209193,53.7,,,4.5,,,,Y,엘리베이터+경사로,,,,,Y,우수,제한없음,,정기점검,2022-10-13,경기도 하남시청,2022-12-19,4040000,경기도 하남시
조정대로 보도육교(1),시도,181,조정대로,경기도 하남시 조정대로 150,37.5535257,127.1946694,39.0,,,4.5,,,,Y,엘리베이터,,,,,Y,우수,제한없음,,정기점검,2022-10-13,경기도 하남시청,2022-12-19,4040000,경기도 하남시
청학육교,시도,,비류대로,인천광역시 연수구 비류대로,37.426685,126.665402,,,,4.9,,,,Y,엘리베이터,,,,, ,양호,제한없음,,정기점검,2022-02-25,인천광역시 연수구청,2022-04-29,3520000,인천광역시 연수구
축현초교육교,시도,,한나루로,인천광역시 연수구 한나루로,37.422744,126.653523,,,,5.0,,,,Y,엘리베이터,,,,, ,양호,제한없음,,정기점검,2022-02-25,인천광역시 연수구청,2022-04-29,3520000,인천광역시 연수구
동막육교,시도,,아암대로,인천광역시 연수구 아암대로,37.395571,126.662275,,,,4.5,,,,Y,엘리베이터,,,,, ,양호,제한없음,,정기점검,2022-02-25,인천광역시 연수구청,2022-04-29,3520000,인천광역시 연수구
미사대로 보도육교(1),시도,176,미사대로,경기도 하남시 미사대로 505,37.55362591,127.2132296,46.0,,,4.7,,,,Y,엘리베이터+경사로,,,,,Y,우수,제한없음,,정기점검,2022-10-13,경기도 하남시청,2022-12-19,4040000,경기도 하남시
미사강변대로 보도육교(1),시도,193,미사강변대로,경기도 하남시 미사강변대로 270,37.57493919,127.1845149,91.4,,,4.7,,,,Y,엘리베이터+경사로,,,,,Y,양호,제한없음,,정기점검,2022-10-13,경기도 하남시청,2022-12-19,4040000,경기도 하남시
아리수로 보도육교,시도,174,아리수로,경기도 하남시 아리수로 600,37.56570022,127.1939062,94.1,,,4.7,,,,Y,엘리베이터+경사로,,,,,Y,양호,제한없음,,정기점검,2022-10-13,경기도 하남시청,2022-12-19,4040000,경기도 하남시
미사강변대로 보도육교(2),시도,193,미사강변대로,경기도 하남시 미사강변대로 135,37.56174338,127.1848254,59.5,,,4.7,,,,Y,엘리베이터+경사로,,,,,Y,양호,제한없음,,정기점검,2022-10-13,경기도 하남시청,2022-12-19,4040000,경기도 하남시
미사강변남로 보도육교,시도,190,미사강변남로,경기도 하남시 미사강변한강로 326-1,37.56191732,127.1996215,74.1,,,4.7,,,,Y,엘리베이터+경사로,,,,,Y,양호,제한없음,,정기점검,2022-10-13,경기도 하남시청,2022-12-19,4040000,경기도 하남시
조정대로 보도육교(2),시도,181,조정대로,경기도 하남시 조정대로 111,37.55333648,127.190478,48.0,,,4.7,,,,Y,엘리베이터+경사로,,,,,Y,양호,제한없음,,정기점검,2022-10-13,경기도 하남시청,2022-12-19,4040000,경기도 하남시
조정대로 보도육교(3),시도,181,조정대로,경기도 하남시 미사강변한강로334번길 70,37.55857099,127.1996957,34.2,,,5.0,,,,Y,엘리베이터+경사로,,,,,Y,양호,제한없음,,정기점검,2022-10-13,경기도 하남시청,2022-12-19,4040000,경기도 하남시
미사대로 보도육교(2),시도,176,미사대로,경기도 하남시 미사대로 261-1,37.57865524,127.1935241,95.8,,,6.0,,,,Y,엘리베이터+경사로,,,,,Y,양호,제한없음,,정기점검,2022-10-13,경기도 하남시청,2022-12-19,4040000,경기도 하남시
위례대로 보도육교,기타,도시계획도로,위례대로,경기도 하남시 위례순환로 343,37.4772169,127.1483118,43.5,,,5.0,,,,Y,엘리베이터,,,,,Y,양호,제한없음,,정기점검,2022-10-13,경기도 하남시청,2022-12-19,4040000,경기도 하남시
신촌초교 앞 보도육교,일반국도,중로2-1,국도43호선,경기도 용인시 수지구 죽전로27번길 14-19,37.32310191,127.1137964,38.0,1.6,,5.0,3.0,,,Y,엘리베이터,,,,2006-09-25,N,양호,제한없음,,정기점검,2022-10-19,경기도 용인시 수지구 건설도로과,2022-12-19,4050000,경기도 용인시
죽전역 보도육교,일반국도,중로2-1,국도43호선,경기도 용인시 수지구 죽전동 1003-406,37.32600723,127.1072693,65.5,,,4.5,2.6,,,Y,엘리베이터+점자블럭,,,,2011-04-04,N,양호,제한없음,,정기점검,2022-10-19,경기도 용인시 수지구 건설도로과,2022-12-19,4050000,경기도 용인시
풍덕천 제4보도육교,일반국도,대로2-3,국도43호선,경기도 용인시 수지구 포은대로 317,37.31549502,127.0873365,48.0,,,4.5,3.5,,,Y,엘리베이터,,,,2007-03-23,N,양호,제한없음,,정기점검,2022-10-19,경기도 용인시 수지구 건설도로과,2022-12-19,4050000,경기도 용인시
풍덕천 제5보도육교,시도,대로2-6,신수로,경기도 용인시 수지구 풍덕천동 741,37.32703851,127.1024981,41.8,1.2,,4.5,3.0,,,Y,엘리베이터,,,,2007-03-23,N,양호,제한없음,,정기점검,2022-10-19,경기도 용인시 수지구 건설도로과,2022-12-19,4050000,경기도 용인시
신봉 보도육교,시도,대로3-7,신봉1로,경기도 용인시 수지구 신봉동 23-5,37.32265084,127.0776376,23.5,0.8,,4.5,3.4,,,Y,엘리베이터,,,,2007-03-23,N,양호,제한없음,,정기점검,2022-10-19,경기도 용인시 수지구 건설도로과,2022-12-19,4050000,경기도 용인시
풍덕천 제1보도육교,시도,대로1-1,수지로,경기도 용인시 수지구 풍덕천동 1008-1,37.32395034,127.0879623,44.0,,,5.5,4.0,,,Y,엘리베이터,,,,2007-03-23,N,양호,제한없음,,정기점검,2022-10-19,경기도 용인시 수지구 건설도로과,2022-12-19,4050000,경기도 용인시
풍덕초교 앞 보도육교,시도,대로1-1,수지로,경기도 용인시 수지구 풍덕천동 664-2,37.33136752,127.0974713,44.0,,,4.5,6.0,,,Y,엘리베이터,,,,2011-04-04,N,양호,제한없음,,정기점검,2022-10-19,경기도 용인시 수지구 건설도로과,2022-12-19,4050000,경기도 용인시
하가지구,시도,,추탄로,전라북도 전주시 덕진구 추탄로 (덕진구 덕진동2가 702),35.8416623,127.110134,42.0,4.5,,4.5,4.0,1.5,,Y,엘리베이터,,,,2010-01-01,N,양호,제한없음,,정기점검,2022-03-31,전라북도 전주시 걷고싶은도시과,2022-04-04,4640000,전라북도 전주시
장재육교,기타,,장재안길,전라북도 전주시 덕진구 장재안길 (덕진구 우아동3가 59-3),35.8514837,127.160705,98.0,6.0,,4.8,4.0,1.5,,Y,엘리베이터,,,,2012-01-01,N,양호,제한없음,,정기점검,2022-03-31,전라북도 전주시 걷고싶은도시과,2022-04-04,4640000,전라북도 전주시
중리하늘다리,시도,,안전로,전라북도 전주시 덕진구 안전로 (덕진구 중동 811),35.8356504,127.058715,39.8,5.0,,4.8,6.0,1.5,,Y,엘리베이터,,,,2014-01-01,N,양호,제한없음,,정기점검,2022-03-31,전라북도 전주시 걷고싶은도시과,2022-04-04,4640000,전라북도 전주시
버드내마을 아파트 앞 보도육교,시도,,계백로,대전광역시 중구 계백로 1508,36.31600744,127.3881365,32.5,6.0,5.0,5.0,2.5,1.2,9.0,Y,엘리베이터+경사로,,,,,N,보통,제한없음,,정기점검,2022-05-01,대전광역시,2023-01-05,6300000,대전광역시
안영동 보도육교,시도,,대둔산로,대전광역시 중구 대둔산로128번길 2,36.28235126,127.375866,37.0,6.0,5.0,5.0,4.0,1.2,11.0,Y,엘리베이터+경사로,,,,,N,보통,제한없음,,정기점검,2022-05-01,대전광역시,2023-01-05,6300000,대전광역시
용신보도육교,시도,,용신로,경기도 안산시 상록구 용신로 298,37.30213565,126.8550899,35.5,,,5.0,3.0,,,Y,엘리베이터,,,,2003-06-30,N,양호,제한없음,,정기점검,2022-05-17,경기도 안산시 상록구청,2022-12-27,3930000,경기도 안산시
건건보도육교,시도,,반월로,경기도 안산시 상록구 반월로 27,37.30323933,126.9028497,40.9,,,5.0,3.0,,,Y,엘리베이터,,,,2003-05-17,N,양호,제한없음,,정기점검,2022-05-17,경기도 안산시 상록구청,2022-12-27,3930000,경기도 안산시
사리보도육교,시도,,해양1로,경기도 안산시 상록구 해양1로 11,37.29492328,126.8257941,51.0,,,4.5,5.0,,,Y,엘리베이터+경사로,,,,2005-12-19,N,양호,제한없음,,정기점검,2022-05-17,경기도 안산시 상록구청,2022-12-27,3930000,경기도 안산시
성포보도육교,시도,,삼일로,경기도 안산시 상록구 삼일로 670,37.32700744,126.8507556,36.0,,,4.8,3.0,,,Y,엘리베이터,,,,2006-04-01,N,양호,제한없음,,정기점검,2022-05-17,경기도 안산시 상록구청,2022-12-27,3930000,경기도 안산시
한대앞역보도육교,시도,,충장로,경기도 안산시 상록구 충장로 337,37.31038189,126.8533807,27.3,,,6.0,3.5,,,Y,엘리베이터,,,,2010-06-01,N,양호,제한없음,,정기점검,2022-05-17,경기도 안산시 상록구청,2022-12-27,3930000,경기도 안산시
부곡나래보도육교,시도,,성호로,경기도 안산시 상록구 성호로 303,37.33020555,126.8590429,80.0,,,4.5,3.0,,,Y,엘리베이터,,,,2016-12-31,N,양호,제한없음,,정기점검,2022-05-17,경기도 안산시 상록구청,2022-12-27,3930000,경기도 안산시
신길보도육교,시도,,중앙대로,경기도 안산시 단원구 중앙대로 397,37.33117947,126.7850035,48.5,5.0,5.0,4.5,4.0,1.2,10.0,Y,엘리베이터,1.0,0,0.0,2010-07-29,N,양호,제한없음,,정기점검,2022-05-31,경기도 안산시 단원구청,2022-12-27,3930000,경기도 안산시
안산역앞보도육교,시도,,중앙대로,경기도 안산시 단원구 중앙대로 441,37.328931,126.7885232,88.0,5.0,5.0,4.5,5.0,1.2,10.0,Y,엘리베이터,1.0,0,0.0,2010-07-29,N,양호,제한없음,,정기점검,2022-05-31,경기도 안산시 단원구청,2022-12-27,3930000,경기도 안산시
